review,sentiment
"Currently playing at the 2007 German Film Festival in Australia http://www.goethe.de/ins/au/lp/prj/ff07/enindex.htm thanks to Peanutqueen and especially AriesGemini for her rundown on the actors in this ensemble cast.<br /><br />In Australia these movies were sub-titled in English and while French movies here often get a mainstream release, German movies are still to gather that sort of commercial audience. But like BMWs and Mercedes when Germans get it right I really like their films. Like PQ the time here went so quickly, lots of laughs from the audience as each of the 9 men and 9 women moved down the speed dating line 5 minutes at a time.<br /><br />While many films are overlong this one I could have watched much more of. It had the sort of characters and character development for a series. Given time I will re-read AriesGemini100 review and reference the actors I liked and their other work with a view to keeping an eye out from them. I agree....most of these actors will go onto bigger and better things. Some very good character actors in this fine film. I did see it in the program listed as a mockumentary. Mock or otherwise it felt very real. And quite romantic in it's way.<br /><br />Viva la Deutcsh!",positive
"I too saw this movie when it first came out. I was a teenager at the time, and I saw it with my girl friend who later became my wife. I remember the movie made me feel it was possible to beat the odds. The cinematography was very well done if memory serves me correctly. The boy was a little much, but the girl character was very interesting. I thought it was very romantic and that might have been the intro to the first time with my then girlfriend. I have not seen the movie since and I wander why it has gone to the wayside. I would love to watch it again to see if it was as good as I remember. The Elton John sound track was excellent.",positive
"A family (mother-Patricia Clarkson, father-Jake Weber, son-Erik Per Sullivan) go out for a family get together in some remote house in the middle of winter. They accidentally hit a deer while driving there. This angers some of the locals--especially Otis (John Speredakos) and things slowly (VERY slowly) go wrong.<br /><br />I was expecting the worst when I started watching this. The bulk of the reviews for this, on this site, are extremely negative. Well...I disagree. First off it's NOT a horror film. The horror doesn't even begin until the closing 30 minutes. It plays more like a family drama with horror elements thrown in. On that level, it's pretty damn good.<br /><br />First--the bad stuff: The pace is WAY too slow; Jake Weber is a horrible actor; WAY too many false dream sequence scares; the wendigo barely figures into the film and the clear view we get of the wendigo at the end is laughable.<br /><br />The good stuff: Pretty good dramatic script; Clarkson is excellent as the mother; some great direction with eerie sound effects which are a little scary; a pretty explicit hot sex sequence between Clarkson and Weber (which actually is necessary for the integrity of the plot!); pretty good acting by Sullivan (only 10 at the time!) and Speredakos and a completely unexpected tragic ending.<br /><br />I think many people are annoyed with this film because it's being pushed as a horror film--which it isn't. So, if you can ignore that, I think you might like it. I'm giving it a 7.",positive
"You know that mouthwash commercial where the guy has a mouth full of Listerine or whatever it is and he's trying really hard to keep from spitting it up into the sink? That's a great metaphor for this movie. I kept watching, even though it was really difficult. But keeping mouthwash in your mouth will leave you with a minty fresh feeling. This movie left me with a bad taste in my mouth. I should have spit it out when I had the chance.<br /><br />The premise is corny enough to be fun. For the first time in like a thousand years, Gargoyles have returned to Romania, and all of the priests who knew how to fight and kill these things are long dead. It's up to Michael Pare and some other secret agents to get to the bottom of things before the Gargoyles run amok. Unfortunately, the premise is completely lost in bad dialog and less than enthusiastic acting on the part of the human leads. The best acting is done by the CG Gargoyles.<br /><br />In the end, this movie feels like a poor man's Van Helsing. If you check your brain at the door, this might get you through a dreary Monday night. I gave it 3 out of 10 stars.",negative
"This is what we can do to each other. This is the sort that everbody should see at least once.<br /><br />It does not glorify world. It shows that it is the everyday person who is killed, mained and debased by war. The person on the ""other side"" eats sleeps, laughs and cry just as we do.",positive
"I thought this had the right blend of character, plot, futuristic stuff and special effects without going over board. It will take a while to get going, but the acting was good and I was intrigued by the angel who is not to hard to look at. I like the attitude too! Certainly not like other attempts at futuristic stories.",positive
"I enjoyed this show, it was on in the uk, but not at peak time, and they seemed to move it all over the schedules so I wasn't able to watch them all. I was surprised when it didn't return and had no i idea why, still don't know, but i guess that's not important.<br /><br />Great performances from the two leads, they were very believable as friends. The two supporting actresses also added well to the mix. I guess it was part of a whole load of shows that were lifestyle centred, Friends being the obvious main one, but sex in the city came along a few years later.<br /><br />The characters, get take out coffee, they drink at nice bars , that sort of thing, a little woody allenish in a way.",positive
the director of this movie must have been mentally ill or even high ... when he accepted to direct this movie... ... i'd rather stare at my ceiling for 5 hours straight instead of being ... punished to watch that stupid movie ... my parents make me watch it as punishment...... ... Don't WATCH IT !!! the director of this movie must have been mentally ill or even high ... when he accepted to direct this movie... ... i'd rather stare at my ceiling for 5 hours straight instead of being ... punished to watch that stupid movie ... my parents make me watch it as punishment...... ... Don't WATCH IT !!! the director of this movie must have been mentally ill or even high ... when he accepted to direct this movie... ... i'd rather stare at my ceiling for 5 hours straight instead of being ... punished to watch that stupid movie ... my parents make me watch it as punishment...... ... Don't WATCH IT !!!,negative
"Having majored in Western History when I was a student in college seeing the views on World War II are quite discomforting and in a whole completely wrong. World War II was the most graphic and bloody affairs to ever occur in world history. While the Axis Powers conducted many crimes against humanity which is still the view today and the correct many people forget that not every German soldier was out to exterminate the Jewish population, not every Japanese soldier swung a samurai sword around and flew kamikaze missions, and not every Italian soldier was a Fascist. Most of these soldiers for the Axis powers were normal people like you and I caught in a terrible conflict and just happened to be fighting for a country they loved.<br /><br />The Battle of Stalingrad was arguably the most lethal battles in world history with over 1,500,000 casualties sustained over the course of the battle. The film Stalingrad follows a German platoon and its leader Lieutenant von Witzland as they are reassigned to the Eastern Front to battle the Soviets at Stalingrad. Von Witzland acts as sort of the main character with two other men, Rollo and Fritzi. They all are normal men and seem to be completely unaware to what is happening back in Germany and Poland.<br /><br />The film follows the course of the battle. The film is overall very bleak when it comes to its portrayal of combat and a soldiers life during the battle. We are shown numerous gruesome battles and intense violence outside of the battles (including a firing squad sequence). Overall the battles are the earliest examples that I know of that portray the loss of limbs and overall in your face death sequences and violence. Much of the inspiration for Saving Private Ryan's battle sequences seem to have come from this film.<br /><br />The film does not aim to make the German's completely innocent of everything in the film. Several of the higher ranking officers of the army are portrayed in the usual view most people are use to, evil. Most of the soldiers are just normal people who often speak of home. The film makes it clear quite quickly that not all Germans were responsible for what happened during the Holocaust, most of the country and army was entirely oblivious to the fact that genocide was taking place. The film makes it clear that the soldiers in the Germany Army was simply fighting for a cause they really didn't understand and most wished just to return home rather than freezing in negative degree temperatures in Russia.<br /><br />The film really shows how hellish war is, especially World War II. The battle scenes will shock you with its gritty realism and the story is quite easy to follow as you are simply following a platoon during the battle. As with most war films do not expect much happiness after seeing it. It will leave you in a bit of a depressed mood just from seeing the life most of the soldiers on the Eastern Front faced. Not recommended for children. <br /><br />4/5 stars",positive
"This movie is up there with the all-time classics. The music, camera shots, and acting are excellent. Showing the movie in black and white gave it a much better appearance and complemented the music perfectly, like Psycho. Its surprising how so few people have commented on this movie. My guess is that its a hard movie to find. I gave the film a 9. See the movie and you'll know what I'm talking about.",positive
"Well, basically, the movie blows! It's Blair Witch meets Sean Penn's ill conceived fantasy about going to Iraq to show the world what the ""War on Terror"" is really about. The script sounds like it was written by 8th grader (no offense to 8th graders); the two main actors over-act the entire film; they used the wrong kind of camera and the wrong type of film(not that i know anything about those things--but it just didn't look like real documentaries I've watched), and worst of all Christian Johnson took a great idea and made it suck. It reminded me of the time I tried to draw a picture of my dog and ended up with a really bad stick figure looking thing that looked more like a giant turd. I'd rather watch the Blair Witch VIII, than sit through that again.",negative
"Just as Tom Berenger put you into the soul of Sgt. Barnes, he has done it again with Thomas Beckett. If I thought his world was folding in on him in the first scenes, it was nothing compared to how much more I felt during the last scenes. Great movie, even for a girl.",positive
"Jack Webb is riveting as a Marine Corp drill instructor in the D.I.. Webb play Sgt.Jim Moore, a tough but fair Marine whose job it is to prepare young teens for possible combat. No one could have played this role any better that Jack Webb. As a former Marine,I can assure that this is the most accurate film dealing with basic training in the Corp. Extremely entertaining!",positive
"I didn't really expect much from ""The Night Listener"" and I actually never heard of it until I saw the cover in the videostore. However, the movie is very effective when it comes to building up suspension and tension. On occasion it drags a little, but it actually helps to keep you wondering what's going to happen and more importantly: when. As the movie progresses, the character played by Robin Williams gets dragged into some kind of ""cat and mouse"" spiel to the point where he becomes obsessed with finding out the truth and existence about a 14 year old abused kid that no-one seemed to have ever seen in person. The Night Listener is an interesting story, which is great in building up the suspense throughout the movie and you're pretty much kept in the dark of who is lying and what's real. However, in the end it kind of disappoints and doesn't live up to the potential it could have had. It doesn't really give you a detailed or plausible explanation about the other main character, which would have been helpful and interesting.",negative
"This is just a long advertisement for the movie ""The Death Tunnel"". Although it is an interesting history of the Waverly Hills Sanatorium, the whole ghost theory is up to your interpretation. More ""Ghost Orbs"" which you can duplicate with dust in front of a flash camera, and the ""Ectoplasmic Mist"" is just someone's cigarette smoke lit up with the camera flash. I couldn't see any ""Shadow People"" until they drew an outline around the blurry distortion of the image. No scientific explanations were suggested for the phenomena, only paranormal. Perhaps these are only events one would have to see to believe, so be sure to make plans to visit the Sanatorium on your next vacation in Louisville, Kentucky.",negative
"A comparison between this movie and 'The Last Detail' is made by some, but 'Chasers' is flatter than a stretch of Interstate highway in west Texas. And like the scenery in the desert, there's nothing much to distinguish it, not even the fact that a female prisoner is being transported by two navy escorts this time around. No one in the cast comes off too well; with this lame script that's not surprising. Dennis Hopper, the director, won't give much space to this one if he ever writes a memoir, I don't think.",negative
"Karen (Sarah Michelle Gellar), an exchange student in Japan who is just beginning to do some social work, is sent to aid an elderly semi-catatonic woman, Emma (Grace Zabriskie), after her previous caretaker, Yoko (Yoko Maki), disappears. Karen soon learns that something is not right in Emma's home, and she attempts to ""see how deep the rabbit hole goes"".<br /><br />Maybe it's a delayed influence from the success of M. Night Shyamalan's films, but slower-paced, understated horror films are a recent trend. In some cases, such as Hide and Seek (2005), the approach works remarkably well, and in others, such as White Noise (2005), the pacing tends to kill the film. I didn't like The Grudge quite as much as Hide and Seek, but this is still a very good film--it earns a 9 out of 10 from me.<br /><br />The Grudge has a couple significant differences from other recent examples of that trend, however. One, it is well known that this is a remake based on the Japanese film series that began with Ju-On (2000) (in particular, it's extremely close to the first half of Ju-On: The Grudge, aka Ju-On 3, from 2003). Two, as with many Japanese horror films, the slower pacing here isn't so much in the realm of realist drama as with surrealism. As is also the case with a large percentage of European horror, The Grudge should be looked at more as a filmed nightmare.<br /><br />Director Takashi Shimizu, also the director of the five Japanese entries in the Ju-On series to date (the fifth is currently in production), and writer Stephen Susco have largely dispensed with linearity and are not overly concerned with logic or plot holes when it comes to the horror behind the story. The idea instead is to present a dreamlike sequence of scenes, with dream logic, where the focus is atmosphere, creepiness, the uncanny, and for many viewers--scares. How well the film works for you will largely depend on how well you can adapt yourself to, or are used to, this different approach to film-making (although admittedly, some of the seeming gaps are filled in by previous entries in the Ju-On series). Traditionally, American audiences consider as flaws leaving plot threads hanging and abandoning ""rules"" for the ""monster"". A more poetic, metaphorical, surreal approach to film isn't yet accepted by the mainstream in the U.S.<br /><br />However, even if you're not used to it, it's worth trying to suspend your normal preconceptions about films and give The Grudge a shot. This is a well written, well directed, well acted film, filled with unusual properties, such as the story interweaving a large number of ""main characters"" (which is done better here than the more episodic Ju-On 3), good cinematography, subtle production design touches (check out Gellar's clothes, which match the color and texture of the exterior of Emma's house, when Gellar first approaches), and beautifully effective horror material.<br /><br />Even though it is more slowly paced that your average horror film of the past, the pacing usually enhances the eeriness, and there is no shortage of bizarre events to keep horror fans entertained. The supernatural premise of the film is absorbing, and based on interviews on the DVD with Shimizu, have prodded me to pay more attention to Japanese beliefs and folklore. Although the most interesting subtexts would probably arise with a more intimate knowledge of Japanese culture, it's interesting to ponder why so many Japanese horror films feature scary children and adults who look like scary children.<br /><br />I subtracted one point for the film slightly veering into clichéd mystery/thriller territory with a ""here's what really happened"" flashback, but even that was fairly well done, and otherwise, this would have been a 10 out of 10.<br /><br />Now that I've said all of the above, let me finish with a mini-rant: It's not that I'm anti-remake, but it is ridiculous that U.S. distributors and studios feel that we need remakes of foreign films to make them appropriate for consumption. The original versions of these films should just be playing in U.S. theaters in wide release. There is no need to present an almost identical film but just substituting white American actors for non-white or foreign actors. Yes, The Grudge is a fine film, but ultimately, I'd rather see something original using this talent, and be treated to the latest foreign horror films--not just Japanese, but also Indian, Spanish, Chinese, etc.--at my multiplex. In the hope that someone with some pull at the studios reads this, it is also more cost-effective to do this, as (1) you can completely avoid production costs, and simply make domestic distribution deals from which you receive profit, and (2) you can make money off of fans like myself who otherwise pick up the foreign film DVDs in foreign manufactured or even bootleg versions.",positive
"I have a friend that works at blockbuster, and he gets 5 free movie rentals a week, so one day as we were scouring the aisles for something interesting, i stumbled across 18 Weapons of Kung Fu, and judging by the box alone, this movie seemed pretty wack, but nonetheless we gave into temptation and rented it -- afterall, it was free.....and thank god it was....this is by far THE WORST movie i have ever seen....the budget must have been a pickle and a piece of string...the plot was ridiculous, the only mention of the ""18 weapons"" is that there is some book that teaches the ways of the 18 weapons that some bad guy is after -- and thats it! there isnt even any weapon fighting in this movie...that and the action sequences are just flat-out BAD....9 times out of 10 the other guy's punches and kicks come about a foot away from landing on the other guy's, and there are MANY times when the the movie will skip frames (a result of ridiculously poor editing)....the dubbing is as well laughable, and it is hardly even understandable....and we wont even get into the acting...the ending will definitely leave you saying ""wtf??"", however to be fair i must mention that the fighting techniques used by the actors were somewhat decent, and the old guy is a mad chump....but thats about it...thankfully i didnt have to pay for this movie, but i guess at least now i know exactly how bad a movie can actually be....",negative
"So we saw this on DVD at our apartment here in Paris. We're all here on an exchange program. We all laughed so hard cuz so much of what was going on in the movie happened to us! I mean yeah sure some of it was pretty clichéd but still true, know what I'm saying.<br /><br />I think I related more to the quiet guy (the Italian) than Xavier because I'm more of the observer in our group. Anyway, I wish I had a hot roommate like Cecile de France. She seems like a cool chick in the movie and for real, after I saw her hosting the Cannes Festival last month.<br /><br />Now I'm thinking I wanna go to Barcelona next summer after seeing this movie. I gotta check out the sequel too which just came out here in France.",positive
"So I'm looking to rent a DVD and I come across this movie called 'End Game'. It stars James Woods and Cuba Gooding JR and has the synopsis of a taught political thriller. Well worth a look then. Or so I thought.<br /><br />Boy, was I wrong.<br /><br />End Game has just about the most ridiculous plot I have ever had the displeasure of enduring. Now being something of a whodunnit, I can't really tear into it as I would like without 'ruining' it for those who have yet to experience this monstrosity. But questions such as 'Why has he/she/they done this?', and 'Where on earth did they get the resources to pull this off?' are all too abundant following the film's unintentionally hilarious conclusion.<br /><br />As for the acting - you know those films where you can almost feel that an actor's realised that they've made a terrible mistake in signing on for a movie, and this then shows in their performance? This is one of those. Accompany this with a laughable script and seriously flawed, irritating direction and you have the recipe for cinematic poison.<br /><br />Of course, this didn't make it to the cinema, and for the same reason you should not allow it into your living room; it is appalling.",negative
"Well you take O.J. Simpson as a all american soldier turned all american bus driver who decides to rescue his passengers on his own just incase no one else is going to and Arte Johnson in an absolutely straight role as the tour guide who doesn't know what to do but doesn't want to admit they are in trouble and combine it with Lorenzo Lamas as one of three baby faced bad boys who intend to kidnap an heiress and leave a busload of people to die on the dessert and you have got to have action, plot twists and a lot of drama. Everyone was good but seeing Lamas as the baddest of the bad boys really blew my mind. He was much too believable as the overbearing bad guy who not only wanted to kidnap the heiress but rape the women and humiliate the guy who tried to stop him. This was evidently long before he cultivated his good guy image. And believe me a 20 year old Lorenzo in tight jeans you really don't want to miss!",positive
"If this movie was written directed and produced with the intention of creating a bad movie cult classic, it might (i say might) have been a hit. Have you ever sat and watched a movie that was so absolutely awful that it becomes fascinating in terms of its faults? Well this is it. Every one of the acting cast should be nominated for worst acting performance awards. It would be hard to find another film, with this kind of production budget, that contains so little of any value whatsoever. The whole thing, from the opening scenes defies logic. Dialogue is completely unbelievable and illogical. Ditto for the behaviour and general storyline of the film itself. What is really mind boggling, is that some buffoons in a boardroom actually made decisions to spend money on this piece of trash. Wow.",negative
"Ladies and gentlemen: the show begins with this documentary film. It's structured in three chapters, each one chronologically arranged. The first presents the classical physics and links to Einstein. The second studies in depth the quantum physics and enters in String theory. The last reveals the Everything theory... The difficult concepts used here are introduced in a very simple way, with daily objects; although you must believe them without checking by yourself -if you are not a scientist- (and even if you are a scientist!!). The film is not a masterpiece by its fabulous technique or the way it's produced; what really imports is the story, and WHAT A STORY!!!",positive
"Two years ago at Sundance I loved Josh Kornbluth's directing debut-Haiku Tunnel. So I was looking forward to his brother (and frequent collaborator) Jacob's, The Best Thief in the World. This is a drama about a seemingly good kid growing up in a lower-class area of New York. The movie is not without its poignant moments. But at times it is as if Kornbluth is working way too hard to state the obvious: Life can be very difficult for some people. And life isn't fair.<br /><br />More subtle, and more important, is our understanding that despite all of these somewhat abhorrent cultural underpinnings and the anti-social behavior they may spawn, these characters have no shortage of goodness and humanity. We can recoil at their language and their living conditions, but we are cannot discount their intent. And in fact, their struggles to maintain a family under such adversity has a certain nobility that most of us can barely appreciate. Kornbluth grew up in this neighborhood, and his compassion for the people is evident throughout.<br /><br />Having said all this, The Best Thief in the World suffers from many painful flaws (including the title). The characters aren't very believable. The writing is uneven. And the plot-line is barely discernible. And for many the most disturbing is that Kornbluth uses two young black boys mimicking gangsta rap between scenes. To each his own: But while I don't question the potential realism of this phenomenon, it pains me to see 5-year-old children mf'ing and talking about having sex with a line-up of women. It's unnecessary shock value and is a forced bit of borrowed interest.",negative
"Black Candles is rather a muddled mess from the same director that brought us ""Vampyres"" and much later, ""Rest in Pieces"", among others..I'm only noting the ones I've seen. At any rate, we have a couple making love and then somewhere near by a pin is poised over a voodoo doll and then pierces it, and the man keels over. Not sure if it was good for either of them, at that point. Fast forward to where the man's sister has come to the house to investigate and hear the reading of the will, or something to that effect, and of course everybody else except her is in on something, which happens to be devil worship. It's really hard to say who is who at moments during the movie and it does get a bit confusing at times. To spice things up though, there's a simulated bestiality scene (I HOPE it's simulated) with a black goat, sure to be a crowd pleaser. Ugh. At times this echoes ""Rosemary's Baby"", minus the baby, because the hostess is always giving one woman herbal tea and the place reeks of whatever nasty Satanic herbs these are too, because that keeps getting remarked upon. However, the herbs aren't the only thing that reeks about this film. The end seems to be back to the beginning again, and many viewers might find themselves wondering where they've been during the middle part. It's not unwatchable, it's just not very good, and I guess it all depends on what you like to see in films, and there wasn't much here that did anything much for me. 3 out of 10.",negative
"Oh my lord, what were they thinking about with this one. It not only is frantically unfunny, but worse, a very good original was trashed in the bargain. Jane Fonda, believe it or not, actually turned in the performance of her life in that one. Even better than where she plays the whore in the other so called performance of her life. Maybe she is just flat good as a crook. Any other time, wow, what a waste of time. But she and Segal team up beautifully, so if you even remotely got a glimpse of anything funny in this baby, catch the anvil upon which it got beaten into a pulp from.<br /><br />Because very very very little of that one remains, to this ones horror. Nothing in this baby is remotely funny except for maybe a couple of moments when Dick and Jane are bulging lipped up as lepers and cant kiss..... and uhh........oh my lord, that's it? Well, looks like it. <br /><br />It truly is that bad a film.",negative
"About the baby: Why wasn't big brother assuming he'd be hungry for a bottle or some nourishment or a diaper change? He should have been screaming non-stop after that many hours without care. Definitely stupid to take the baby from a safe place when he didn't need to.<br /><br />And why was the road miraculously clear whenever anyone wanted to drive somewhere? Didn't any uprooted trees fall on the roads and block them?<br /><br />I can't imagine the cops at the roadblock not immediately following after any young person who would crash it, especially when they said it was dangerous to go there.<br /><br />That being said, it was nice to have a movie children could safely watch, for a change.",negative
"Oh how awfully this movie is! I don't know if it is a horror film or a drama, cause the story and the both genres are not established very well! The story is not moving, it is slow, boring, and sleepy from the beginning to end. This movie really bores me! But I really liked the camera work, it is authentic, fresh and clear, the acting is great too, the little boy was the great performer in this movie, but it hasn't made me to jump from my seat. But this movie makes me grab a pillow, lay on the bed and sleep until the credits roll...<br /><br />Boring! Not worth watching! I tell you, this movie sucked!<br /><br />1/10",negative
